column,null_pct
closed_time,99.13362239501329
skills_desc,98.03066637599012
med_salary,94.92930907799013
remote_allowed,87.6898481215028
applies,81.17061906030732
min_salary,75.94409321028026
max_salary,75.94409321028026
currency,70.8734022882704
compensation_type,70.8734022882704
pay_period,70.8734022882704
normalized_salary,70.8734022882704
posting_domain,32.27155649217999
application_url,29.604599148963658
formatted_experience_level,23.74585180340576
fips,22.13582669218161
zip_code,16.85278040194107
company_name,1.387980524671172
company_id,1.3863656549507868
views,1.3637574788653926
description,0.005652044021348578
job_id,0.0
title,0.0
location,0.0
original_listed_time,0.0
formatted_work_type,0.0
application_type,0.0
expiry,0.0
listed_time,0.0
job_posting_url,0.0
work_type,0.0
sponsored,0.0
