job_id,title,company_name,formatted_experience_level,industry_name,scope_reason,scope_exclusion_reason,manual_precision_note
3905650458,ASSISTANT STORE MANAGER,Family Dollar,Entry level,Retail,excluded,no_tech_scope_signal,
3895487880,Medical Technologist,Florida Medical Center - a campus of North Shore,,Hospitals and Health Care,excluded,no_tech_scope_signal,
3904939155,"Director, Faculty Affairs",Brigham and Women's Hospital,Director,Hospitals and Health Care,excluded,no_tech_scope_signal,
3901394820,Accessibility Official,Metropolitan Transportation Authority,,Truck Transportation,excluded,no_tech_scope_signal,
3903456352,Customer Success Specialist,XILO,,"Technology, Information and Internet",excluded,no_tech_scope_signal,
3900951566,Customer Service Advocate I,Centene Corporation,,Hospitals and Health Care | Insurance,excluded,off_target_business_role,
3902832363,Sales Specialist,Shuert Technologies,,Plastics Manufacturing,excluded,no_tech_scope_signal,
3895544084,Retail Assistant Supervisor,Easterseals-Goodwill Northern Rocky Mountain,Entry level,Non-profit Organizations,excluded,off_target_business_role,
3904387879,Process Operator,Innophos,Entry level,Food and Beverage Manufacturing,excluded,no_tech_scope_signal,
3887100431,Executive Assistant to President/Office Manager,Solomon Page,Associate,Banking | Financial Services | Investment Banking,excluded,off_target_business_role,
3895528400,Social Worker (Women's Mental Health Shelter),Lenox Hill Neighborhood House,Entry level,Non-profit Organizations,excluded,no_tech_scope_signal,
3886462965,"Tax Senior Manager, International Tax Services",BDO USA,Mid-Senior level,Accounting,excluded,no_tech_scope_signal,
3900953914,"Deputy Chief of Police Accountability, Operations Officer IV (NCS) - Office of Equity and Civil Rights",City of Baltimore,Director,Government Administration,excluded,non_digital_engineering,
3904952228,Enterprise Resiliency Specialist - Senior,Dice,Mid-Senior level,Software Development,excluded,no_tech_scope_signal,
3905374337,Receiving Clerk,Reyes Holdings,,Facilities Services,excluded,no_tech_scope_signal,
3905862479,Assistant Manager,Foot Locker,Mid-Senior level,Retail,excluded,no_tech_scope_signal,
3884435856,Warehouse Loader,NAPA Auto Parts,Entry level,Retail,excluded,no_tech_scope_signal,
3895524779,RN/LB PACU FT days,LCMC Health,Mid-Senior level,Hospitals and Health Care,excluded,no_tech_scope_signal,
3905293971,Medical Assistant Certified/Registered - Medical Oncology: FT/Days,Cape Fear Valley Health,Entry level,Hospitals and Health Care,excluded,no_tech_scope_signal,
3904718575,Housekeeper,Aimbridge Hospitality,Entry level,Hospitality,excluded,no_tech_scope_signal,
3906071870,Applications Analyst I,United Health Services,Mid-Senior level,Hospitals and Health Care,excluded,no_tech_scope_signal,
3900961190,Financial Services Audit Manager,Baker Tilly US,Mid-Senior level,Financial Services,excluded,no_tech_scope_signal,
3905691664,Insurance Agency - Customer Service Manager,Portsmouth Atlantic Insurance,,Insurance,excluded,off_target_business_role,
3887867999,Store Manager - Spencer's,Spencer's,Mid-Senior level,Retail,excluded,no_tech_scope_signal,
3905374378,Lead Systems Operations Process Engineer,Wells Fargo,Mid-Senior level,Banking | Financial Services | Investment Management,excluded,non_digital_engineering,
