job_id,title,company_name,formatted_experience_level,industry_name,scope_reason,manual_precision_note
3891073928,Software Engineer,Sonobi,,Advertising Services,title_core,
3899538732,Data Analyst,Russell Tobin,Mid-Senior level,IT System Custom Software Development | Software Development,title_core,
3901394243,Technical Lead,Gore Talent,Mid-Senior level,Software Development,ambiguous_title_supported,
3900084008,ETL Developer,Tata Consultancy Services,Entry level,IT Services and IT Consulting,title_core,
3890896146,iOS Developer,TEK Inspirations LLC,,IT Services and IT Consulting,title_core,
3854900554,Head of Product,Bad Birdie,,Retail Apparel and Fashion,title_leadership,
3901478018,Senior Full Stack Developer (Blockchain),BlockApps,Mid-Senior level,Software Development,title_core,
3840166122,Senior Salesforce Developer,"Tanisha Systems, Inc",,IT Services and IT Consulting,title_core,
3901347421,Software Engineer (Backend),Divorce.com,,Consumer Services,title_core,
3885806687,Data Engineer,Capital One,Entry level,Financial Services,title_core,
3902788625,M365 Power-Platform SharePoint Online Developer,Talent Groups,Entry level,Staffing and Recruiting,title_core,
3904500805,Markit/Cadis MDM Developer,,Mid-Senior level,Financial Services | IT Services and IT Consulting | IT System Data Services,title_core,
3905870262,Lead Cloud Applications Engineer/Developer,Empire State Development,Mid-Senior level,Economic Programs,title_core,
3902752908,"Software Engineer, Associate (Engineer Software 1) - 18662","Mission Technologies, a division of HII",Entry level,Defense and Space Manufacturing,title_core,
3901671522,Site Reliability Engineer,SHEIN Technology LLC,Mid-Senior level,Retail Apparel and Fashion,title_core,
3901347312,Front Web Developer - .net and EcmaScript,Peritus - A Colina Tech Group,,Information Technology & Services,title_core,
3900071726,Program Project Manager,Charter Global,Mid-Senior level,Financial Services | Information Services | Strategic Management Services,ambiguous_title_supported,
3905858322,Senior Network Engineer,New York Technology Partners,Mid-Senior level,Computer and Network Security | IT Services and IT Consulting,title_core,
3885110458,Project Manager,,,,ambiguous_title_supported,
3901379181,Frontend Developer,DataAnnotation,,Computer and Network Security | Engineering Services | Software Development,title_core,
3833295504,🚀 Join Our Team as a Senior iOS Developer at ABHI IT SYSTEMS INC 🌐 🚀,ABHI IT SYSTEMS INC,,IT Services and IT Consulting,title_core,
3888943510,Java or Node.js Developer,Motion Recruitment,Mid-Senior level,Staffing and Recruiting,title_core,
3902350709,Solutions Architect,Sumeru Inc,,IT Services and IT Consulting,title_core,
3901380006,Technical Project Manager,TabaPay,Associate,Financial Services,ambiguous_title_supported,
3901651305,"Senior Product Manager, Compliance & Money Ops (New York City)",January,Mid-Senior level,Financial Services,ambiguous_title_supported,
